"cluster","mean","scale","shape","logCompLik"
201,-0.413708132339217,21.7579256634497,8.07740027031033,90910.6787448434
79,-0.326818462086028,85.5508773578913,9.29271646154609,87288.0514151604
38,-0.336312795890139,79.4566850529172,9.93438902746509,167536.873469011
39,0.5,10,5,-1e+15
242,-0.268386265877698,35.5773948424958,10.8005117633234,115355.220951626
160,-0.327971476245622,43.9245999572618,8.64536613481178,205370.985077136
1,-0.412968152389544,91.6885711099181,5.97823792425631,146771.93825098
140,-0.463577063497555,67.6261436878699,5.89160788590386,120427.207303171
8,-0.464899548838108,64.9587604094953,5.66725451772586,194505.890159493
161,-0.420328498036231,44.7528852916818,8.12987487887372,136544.563100801
202,-0.370716477508708,116.287634868254,6.10480187703987,206252.356500034
10,-0.427526084336414,129.811026228535,6.49722285894985,180555.48816086
4,-0.428723635890649,14.1121305656329,10.5695933312269,79685.40508114
181,-0.356159627471604,100.666152409257,5.60999340050026,138114.70959368
203,-0.409897239437269,97.4161186416088,7.7993264243071,148003.1871372
80,-0.502300038897292,12.5712181383781,8.80218551584105,71645.3414064167
221,-0.286507858158592,15.7416774252108,7.31180925000354,107445.76396096
222,0.5,10,5,-1e+15
182,-0.513040397377198,41.8632577499483,8.81265880502406,224981.8116951
58,-0.390574251277532,12.9047423429984,9.52310611118596,168895.687055441
81,-0.33957817368427,44.9972198342584,12.1833886537859,155774.02569772
141,-0.457013540125516,101.663300574297,5.29741851376842,296556.428483813
40,-0.491865978158698,98.3358390464033,5.74491084326696,279262.230387525
59,-0.245659702664586,57.6860681035654,13.9193425372856,173802.103604092
204,-0.494049217821487,77.7726280809471,5.73591947634126,224414.239984634
82,-0.345724420410236,101.493342055618,7.46472829429845,100363.72413779
223,-0.455176163903541,59.5422704703239,7.69411167909632,275312.951963208
83,0.5,10,5,-1e+15
41,-0.300156841555595,49.7753231343033,11.5244297381527,129421.061714885
6,-0.533338400762428,42.1875200875865,10.0907571563237,88968.4107848873
84,-0.436077130666342,50.4727816617691,8.60009027051524,192179.723227245
42,-0.328232550713989,71.7335138754162,8.61773673919815,177568.774201218
12,-0.497044248556575,10.7062730237515,6.7987151183236,206837.492873575
120,0.5,10,5,-1e+15
142,-0.401748859799448,154.780877004877,7.30877907722087,171703.604018579
121,0.5,10,5,-1e+15
243,-0.518155274188445,15.3931496204306,7.57715600339267,219049.71541154
143,0.5,10,5,-1e+15
183,-0.266412864402964,62.9236073405767,12.6758506946609,184203.297875378
