"cluster","mean","scale","shape","logCompLik"
242,-0.27057905987853,43.033508271088,10.4621598365355,60439.4065500492
221,-0.220538340819144,76.5203607437994,10.6027529372815,69588.1592811576
79,-0.327541509643505,94.5546694447985,9.22258738199945,45643.7662562251
201,-0.416916047078692,24.935300166651,7.79879556841758,47101.2709684439
222,-0.513367781223674,10,4.18348907681797,-1e+15
140,-0.464124490603898,76.0873940813688,5.86129443292012,63837.9005375293
58,-0.366886826769395,87.754785530871,9.64007066580426,98965.0603998952
181,-0.357386557697442,112.405435480482,5.56340315376062,73730.4969204732
160,-0.330587078323321,50.5015790990313,8.40836310662941,107638.906427023
38,-0.336897522683493,87.7369388172354,9.85741183523028,87347.1803296178
1,-0.413364956009687,100.796521619885,5.94986815246061,77449.4760820569
59,-0.246203283609127,64.1037078193437,13.7810409435775,90220.7997606575
4,-0.407667459810621,33.9522835658244,11.5869818607224,42888.0370229393
12,-0.48574857689011,92.8655688592914,5.90675422416988,126146.796831712
120,-0.349064215218569,10,8.5645026888206,-1e+15
6,-0.535152907601185,47.7905619694058,9.79921505336215,45889.289443173
161,-0.422256298789615,51.6376422770148,7.95611696377759,71512.2440792014
121,-0.255210557948077,10,7.80132140059877,-1e+15
182,-0.514663301161666,47.294007780782,8.64277473525004,116961.974641004
202,-0.371677190589138,124.163684841605,6.05351859867845,108190.161270458
243,-0.493656495521081,69.8418005615162,7.45935234061519,123863.313251937
10,-0.427840797076383,140.852711710865,6.4724790190143,94706.8650538619
8,-0.465528945262065,69.2919409730559,5.65044492141602,102409.935926154
223,-0.455604646525712,69.3545693250156,7.62340529275702,144875.599149398
122,-0.303770879970831,57.3289061210189,10.811820331903,79572.784790614
80,-0.462717603701638,47.4539864876003,10.6327660220482,41252.1318318997
60,-0.327065593556311,68.9309664062813,10.8429119109751,90956.5598403774
183,-0.267431580013158,70.8891262438956,12.4903190351059,95836.0001197935
61,-0.319984254102234,10,10.6701130469051,-1e+15
162,-0.405854029510252,66.4629608889032,7.84908319493756,104316.650415138
40,-0.492549125545469,106.527784724939,5.70974606794804,146735.313100983
203,-0.410959030261383,107.869637590526,7.70397509418592,77394.0730118858
62,-0.470937602412417,10,7.02398774707713,-1e+15
141,-0.457776513854379,110.313763308516,5.27115375742029,156681.768655529
184,-0.205886188482418,118.077832898073,9.91785504666087,25432.2433000044
224,-0.494369200253762,85.6464699517263,6.74661267551099,88537.404386386
163,-0.356362115496819,82.2087517428332,6.97067118518542,39742.5436107613
81,-0.340965135759299,50.3086367356873,11.9267683885186,80724.2027113997
41,-0.301356242826613,55.7195922705567,11.3236027215494,67290.3840548387
244,-0.417960403101305,56.0989320998759,8.32617749530368,132943.988146236
63,-0.441453230548732,172.019876577295,6.88505726154058,62906.4312481363
100,-0.391098638602303,78.4937663027111,8.16500410289644,116119.652762372
64,-0.375359166988186,10,11.9557959433167,-1e+15
164,-0.306428974797274,80.9354643698535,8.04150184138419,54130.9056480333
82,-0.346620787952406,112.844192835018,7.39993642153386,52696.1511309761
83,-0.332055968188402,10,9.98439807258575,-1e+15
245,-0.347683850109881,109.197987198943,10.0867193497781,78602.2604936015
101,-0.278085654266029,22.5569389364411,13.6771120942735,55394.5881234643
123,-0.443963831531734,127.894424529368,6.44926217637543,110461.984597513
142,-0.401843583846175,171.21278839493,7.29768461549273,90057.4050115209
143,-0.296107213316429,10,9.39555163370939,-1e+15
204,-0.494171521210422,86.0014570335139,5.72681392458162,118758.504584656
165,-0.249973508644176,48.369764527239,14.9261611471662,81738.904930069
185,-0.422745286812773,59.5366738023952,6.89740505555484,127157.177133457
225,-0.444952996474833,63.1035595253259,7.68282463284094,101385.776154405
246,-0.493665140980364,77.3174936774317,7.36986225909111,57192.110919419
42,-0.32902863535766,81.5041331957634,8.54594508392069,93457.0155102946
144,-0.298697875812351,127.798647740172,8.37684408878146,52969.0040245838
205,-0.279938970605472,48.3467464068012,11.4248602081879,62752.9713005969
124,-0.323549686543484,89.2113795239627,9.86330348278232,124186.712647408
186,-0.313574693503619,103.040333800461,10.0632698898538,67452.4510735751
84,-0.437408220175814,55.922002963101,8.48547015341103,100223.343900631
247,-0.382005582486356,95.7807747319115,7.9684342515244,50039.2625767722
125,-0.416075701936552,62.6698531181389,8.30510869964985,28505.3862523044
226,-0.313848669471966,84.7455007098926,11.0924186314058,87957.6996029477
102,-0.352441293410432,94.580202233207,9.68726279914338,160041.17498961
43,-0.230970070590426,60.8270980666645,13.2844217441491,75448.248770424
206,-0.440036942401082,60.4800141956383,7.81152485438828,70229.1880328909
248,-0.301349788331129,41.4103170323814,12.970205528668,83125.107848841
65,-0.350299585868913,166.026455552652,8.48376906256386,160512.916921355
227,-0.346585127522417,58.1484231861691,9.28841148904891,75303.6667854564
126,-0.377526800515099,44.638811239101,10.2569373732536,88757.9217687373
166,-0.441276497830627,170.813458480138,5.88192929963847,103513.279606107
127,-0.245726965587191,10,12.9747878422987,-1e+15
187,-0.420586175553055,115.041752601572,7.52775911136615,111282.88312922
145,-0.334934470930895,72.2243376866263,9.66662393810496,151205.420860914
85,-0.404619858574001,183.744582263592,6.41564070277114,97901.3072276734
228,-0.329593503290955,90.2982804639521,9.17317995973954,41488.1431725858
249,-0.30261528327731,45.6828783240979,11.8150994129198,66685.015346101
44,-0.316650901250939,101.267903797257,8.61517785975501,112232.28161572
66,-0.352958427449803,173.640618965246,6.795227972589,64978.0597284539
103,-0.438420531727842,43.8683307343288,9.79083872592338,164460.743568616
128,-0.255548787211841,64.627406096965,11.3808505387281,90416.0805095777
146,-0.316848465083746,126.428518955806,9.73704807913708,97398.9913505143
229,-0.191609396084466,44.4920127827389,15.8320340404964,83131.38052415
207,-0.428410482642458,35.2581827579346,8.31887194571481,117808.112701072
167,-0.399181503996725,83.8023277480424,9.8386333549724,90902.6333996131
67,-0.324885035000745,276.330799762491,6.27045822539637,39394.177411278
